course_id,course_title,skill,skill_category,skill_difficulty,confidence,extraction_method,cluster
C0001,SPSS: Apply & Interpret Logistic Regression Models,regression,data_science,intermediate,0.9,taxonomy_match,0
C0001,SPSS: Apply & Interpret Logistic Regression Models,spss,extracted,intermediate,0.6,nlp_extraction,0
C0001,SPSS: Apply & Interpret Logistic Regression Models,logistic regression models,extracted,intermediate,0.6,nlp_extraction,0
C0002,Securing Compute Engine Applications and Resources using Chrome Enterprise Premium,compute engine applications,extracted,intermediate,0.6,nlp_extraction,0
C0002,Securing Compute Engine Applications and Resources using Chrome Enterprise Premium,resources,extracted,intermediate,0.6,nlp_extraction,0
C0002,Securing Compute Engine Applications and Resources using Chrome Enterprise Premium,chrome enterprise premium,extracted,intermediate,0.6,nlp_extraction,0
C0010,Migrating to Cloud SQL from Amazon RDS for MySQL Using Database Migration Service,sql,programming,intermediate,0.9,taxonomy_match,0
C0010,Migrating to Cloud SQL from Amazon RDS for MySQL Using Database Migration Service,amazon rds,extracted,intermediate,0.6,nlp_extraction,0
C0010,Migrating to Cloud SQL from Amazon RDS for MySQL Using Database Migration Service,mysql,extracted,intermediate,0.6,nlp_extraction,0
C0010,Migrating to Cloud SQL from Amazon RDS for MySQL Using Database Migration Service,database migration service,extracted,intermediate,0.6,nlp_extraction,0
C0011,Vital Signs: Understanding What the Body Is Telling Us,vital signs,extracted,intermediate,0.6,nlp_extraction,0
C0011,Vital Signs: Understanding What the Body Is Telling Us,the body,extracted,intermediate,0.6,nlp_extraction,7
C0013,Develop Code with Gemini in BigQuery,code,extracted,intermediate,0.6,nlp_extraction,0
C0013,Develop Code with Gemini in BigQuery,gemini,extracted,intermediate,0.6,nlp_extraction,0
C0013,Develop Code with Gemini in BigQuery,bigquery,extracted,intermediate,0.6,nlp_extraction,0
C0016,Create Amazing Macros in Affinity Photo,amazing macros,extracted,intermediate,0.6,nlp_extraction,0
C0016,Create Amazing Macros in Affinity Photo,affinity photo,extracted,intermediate,0.6,nlp_extraction,0
C0022,Use SurveyMonkey to Create a Survey and Analyze Results,surveymonkey,extracted,intermediate,0.6,nlp_extraction,0
C0022,Use SurveyMonkey to Create a Survey and Analyze Results,a survey,extracted,intermediate,0.6,nlp_extraction,0
C0022,Use SurveyMonkey to Create a Survey and Analyze Results,results,extracted,intermediate,0.6,nlp_extraction,0
C0023,Performing Data Aggregation using SQL Aggregate Functions,sql,programming,intermediate,0.9,taxonomy_match,0
C0023,Performing Data Aggregation using SQL Aggregate Functions,data aggregation,extracted,intermediate,0.6,nlp_extraction,11
C0023,Performing Data Aggregation using SQL Aggregate Functions,sql aggregate functions,extracted,intermediate,0.6,nlp_extraction,0
C0026,Developing AI Policy,ai policy,extracted,intermediate,0.6,nlp_extraction,0
C0029,Machine Learning in the Enterprise - Français,machine learning,data_science,intermediate,0.9,taxonomy_match,4
C0030,Consulting Presentations and Storytelling,storytelling,communication,intermediate,0.9,taxonomy_match,0
C0032,Design: Creation of Artifacts in Society,design,extracted,intermediate,0.6,nlp_extraction,9
C0032,Design: Creation of Artifacts in Society,creation,extracted,intermediate,0.6,nlp_extraction,0
C0032,Design: Creation of Artifacts in Society,artifacts,extracted,intermediate,0.6,nlp_extraction,0
C0033,Product Management: Developing and Delivering a New Product,product management,extracted,intermediate,0.6,nlp_extraction,0
C0033,Product Management: Developing and Delivering a New Product,a new product,extracted,intermediate,0.6,nlp_extraction,0
C0036,Debugging Apps on Google Kubernetes Engine,debugging,software_engineering,intermediate,0.9,taxonomy_match,0
C0036,Debugging Apps on Google Kubernetes Engine,kubernetes,cloud_computing,advanced,0.9,taxonomy_match,0
C0038,Researcher Management and Leadership Training,leadership,project_management,intermediate,0.9,taxonomy_match,0
C0045,Creating Engaging Content for YouTube,engaging content,extracted,intermediate,0.6,nlp_extraction,0
C0045,Creating Engaging Content for YouTube,youtube,extracted,intermediate,0.6,nlp_extraction,0
C0046,Building No-Code Apps with AppSheet: Implementation,no-code apps,extracted,intermediate,0.6,nlp_extraction,0
C0049,Mastering Microsoft Endpoint Manager and Intune,microsoft endpoint manager,extracted,intermediate,0.6,nlp_extraction,0
C0049,Mastering Microsoft Endpoint Manager and Intune,intune,extracted,intermediate,0.6,nlp_extraction,0
C0050,From prototyping to validating business models,prototyping,design,intermediate,0.9,taxonomy_match,0
C0052,Modelos predictivos con Machine Learning,machine learning,data_science,intermediate,0.9,taxonomy_match,4
C0053,Introduction to SQL and relational databases,sql,programming,intermediate,0.9,taxonomy_match,0
C0056,Build a Mobile App with Firebase,a mobile app,extracted,intermediate,0.6,nlp_extraction,0
C0056,Build a Mobile App with Firebase,firebase,extracted,intermediate,0.6,nlp_extraction,0
C0057,Computer Vision Basics,computer vision,data_science,intermediate,0.9,taxonomy_match,0
C0059,3D Animation in Unreal Engine: Create an Original Character,animation,multimedia,intermediate,0.9,taxonomy_match,0
C0059,3D Animation in Unreal Engine: Create an Original Character,unreal engine,extracted,intermediate,0.6,nlp_extraction,0
C0059,3D Animation in Unreal Engine: Create an Original Character,an original character,extracted,intermediate,0.6,nlp_extraction,3
C0060,Programación avanzada en Swift,swift,programming,intermediate,0.9,taxonomy_match,0
C0062,Civil Registration & Vital Statistics in Population Health,statistics,data_science,intermediate,0.9,taxonomy_match,0
C0063,Create a Cover Letter with an Envelope using Microsoft Word,a cover letter,extracted,intermediate,0.6,nlp_extraction,0
C0063,Create a Cover Letter with an Envelope using Microsoft Word,an envelope,extracted,intermediate,0.6,nlp_extraction,3
C0063,Create a Cover Letter with an Envelope using Microsoft Word,microsoft word,extracted,intermediate,0.6,nlp_extraction,0
C0066,User Interface Design and Prototyping,prototyping,design,intermediate,0.9,taxonomy_match,0
C0066,User Interface Design and Prototyping,user interface design,extracted,intermediate,0.6,nlp_extraction,6
C0068,Research Methodologies,research,analytical,intermediate,0.9,taxonomy_match,0
C0070,Analyze Box Office Data with Seaborn and Python,python,programming,intermediate,0.9,taxonomy_match,0
C0070,Analyze Box Office Data with Seaborn and Python,analyze box office data,extracted,intermediate,0.6,nlp_extraction,11
C0072,Cybersecurity Identity and Access Solutions with Azure AD,azure,cloud_computing,intermediate,0.9,taxonomy_match,0
C0074,XR in Healthcare Education and Clinical Practice,healthcare education,extracted,intermediate,0.6,nlp_extraction,0
C0074,XR in Healthcare Education and Clinical Practice,clinical practice,extracted,intermediate,0.6,nlp_extraction,0
C0079,Translating Research to Communities ,research,analytical,intermediate,0.9,taxonomy_match,0
C0083,Specialized RMAN Features and Advanced Use Cases,specialized rman features,extracted,intermediate,0.6,nlp_extraction,0
C0083,Specialized RMAN Features and Advanced Use Cases,advanced use cases,extracted,intermediate,0.6,nlp_extraction,0
