skill_id,skill_name,category,difficulty,frequency
regression,regression,data_science,intermediate,49
spss,spss,extracted,intermediate,2
logistic_regression_models,logistic regression models,extracted,intermediate,1
compute_engine_applications,compute engine applications,extracted,intermediate,1
resources,resources,extracted,intermediate,2
chrome_enterprise_premium,chrome enterprise premium,extracted,intermediate,2
sql,sql,programming,intermediate,126
amazon_rds,amazon rds,extracted,intermediate,1
mysql,mysql,extracted,intermediate,2
database_migration_service,database migration service,extracted,intermediate,3
vital_signs,vital signs,extracted,intermediate,1
the_body,the body,extracted,intermediate,1
code,code,extracted,intermediate,4
gemini,gemini,extracted,intermediate,9
bigquery,bigquery,extracted,intermediate,14
amazing_macros,amazing macros,extracted,intermediate,1
affinity_photo,affinity photo,extracted,intermediate,3
surveymonkey,surveymonkey,extracted,intermediate,1
a_survey,a survey,extracted,intermediate,1
results,results,extracted,intermediate,2
data_aggregation,data aggregation,extracted,intermediate,1
sql_aggregate_functions,sql aggregate functions,extracted,intermediate,1
ai_policy,ai policy,extracted,intermediate,1
machine_learning,machine learning,data_science,intermediate,247
storytelling,storytelling,communication,intermediate,42
design,design,extracted,intermediate,99
creation,creation,extracted,intermediate,1
artifacts,artifacts,extracted,intermediate,1
product_management,product management,extracted,intermediate,1
a_new_product,a new product,extracted,intermediate,1
debugging,debugging,software_engineering,intermediate,16
kubernetes,kubernetes,cloud_computing,advanced,118
leadership,leadership,project_management,intermediate,119
engaging_content,engaging content,extracted,intermediate,4
youtube,youtube,extracted,intermediate,2
no-code_apps,no-code apps,extracted,intermediate,4
microsoft_endpoint_manager,microsoft endpoint manager,extracted,intermediate,1
intune,intune,extracted,intermediate,1
prototyping,prototyping,design,intermediate,22
a_mobile_app,a mobile app,extracted,intermediate,2
firebase,firebase,extracted,intermediate,2
computer_vision,computer vision,data_science,intermediate,24
animation,animation,multimedia,intermediate,21
unreal_engine,unreal engine,extracted,intermediate,19
an_original_character,an original character,extracted,intermediate,1
swift,swift,programming,intermediate,16
statistics,statistics,data_science,intermediate,58
a_cover_letter,a cover letter,extracted,intermediate,1
an_envelope,an envelope,extracted,intermediate,1
microsoft_word,microsoft word,extracted,intermediate,7
user_interface_design,user interface design,extracted,intermediate,4
research,research,analytical,intermediate,92
python,python,programming,intermediate,378
analyze_box_office_data,analyze box office data,extracted,intermediate,1
azure,azure,cloud_computing,intermediate,165
healthcare_education,healthcare education,extracted,intermediate,1
clinical_practice,clinical practice,extracted,intermediate,2
specialized_rman_features,specialized rman features,extracted,intermediate,1
advanced_use_cases,advanced use cases,extracted,intermediate,3
calculus,calculus,mathematics,intermediate,30
accounting,accounting,finance,intermediate,62
google_cloud,google cloud,cloud_computing,intermediate,315
municipal_solid_waste_management,municipal solid waste management,extracted,intermediate,1
developing_countries,developing countries,extracted,intermediate,4
developing_applications,developing applications,extracted,intermediate,4
cloud,cloud,extracted,intermediate,7
compliance,compliance,cybersecurity,intermediate,33
natural_language_processing,natural language processing,data_science,intermediate,18
time,time,extracted,intermediate,4
causal_information,causal information,extracted,intermediate,1
design_patterns,design patterns,software_engineering,intermediate,8
principles,principles,extracted,intermediate,11
"prototyping,_practices","prototyping, practices",extracted,intermediate,1
positive_psychology_specialization_project,positive psychology specialization project,extracted,intermediate,1
your_life,your life,extracted,intermediate,1
well-being,well-being,extracted,intermediate,2
java,java,programming,intermediate,157
data_analytics,data analytics,extracted,intermediate,8
data_visualizations,data visualizations,extracted,intermediate,1
a_machine_learning_solution,a machine learning solution,extracted,intermediate,1
decision_making,decision making,analytical,intermediate,27
c++,c++,programming,intermediate,42
ux_design,ux design,design,intermediate,14
introduction,introduction,extracted,intermediate,35
design_mastertrack_certificate_program,design mastertrack certificate program,extracted,intermediate,1
communication,communication,project_management,intermediate,86
react,react,programming,intermediate,60
a_memory_game,a memory game,extracted,intermediate,1
r,r,programming,intermediate,90
_applied_sustainability_engineering, applied sustainability engineering,extracted,intermediate,1
relationships,relationships,extracted,intermediate,2
testing,testing,software_engineering,intermediate,98
master_unity_gui,master unity gui,extracted,intermediate,1
animate,animate,extracted,intermediate,1
script,script,extracted,intermediate,1
menus,menus,extracted,intermediate,2
angular,angular,programming,intermediate,18
atm_user_interface,atm user interface,extracted,intermediate,1
optimization,optimization,mathematics,advanced,56
aws,aws,cloud_computing,intermediate,218
javascript,javascript,programming,intermediate,94
valuation,valuation,finance,intermediate,20
data_transformation,data transformation,extracted,intermediate,5
google_cloud_-_français,google cloud - français,extracted,intermediate,1
data_science,data science,extracted,intermediate,5
machine,machine,extracted,intermediate,15
digital_products,digital products,extracted,intermediate,2
canva,canva,extracted,intermediate,46
user_interfaces,user interfaces,extracted,intermediate,3
user_interactions,user interactions,extracted,intermediate,1
node.js,node.js,programming,intermediate,19
cloud_functions,cloud functions,extracted,intermediate,1
videos,videos,extracted,intermediate,2
edpuzzle,edpuzzle,extracted,intermediate,1
css,css,programming,intermediate,55
tailwind_css_practice_project,tailwind css practice project,extracted,intermediate,1
a_product_card,a product card,extracted,intermediate,1
document,document,extracted,intermediate,2
devops,devops,software_engineering,intermediate,73
quantitative_finance,quantitative finance,extracted,intermediate,1
security_architecture,security architecture,cybersecurity,advanced,7
gis_data_formats,gis data formats,extracted,intermediate,1
quality,quality,extracted,intermediate,2
scrum,scrum,software_engineering,intermediate,31
systems_thinking,systems thinking,analytical,intermediate,2
data_analysis,data analysis,data_science,intermediate,117
a_technology_startup_company,a technology startup company,extracted,intermediate,1
matlab,matlab,programming,intermediate,12
applications,applications,extracted,intermediate,8
cloud_profiler,cloud profiler,extracted,intermediate,1
opentsdb,opentsdb,extracted,intermediate,1
time-series_data,time-series data,extracted,intermediate,1
agile,agile,software_engineering,intermediate,96
agile_leadership_principles,agile leadership principles,extracted,intermediate,1
practices,practices,extracted,intermediate,10
usability_testing,usability testing,extracted,intermediate,2
negotiation,negotiation,project_management,intermediate,19
deep_learning,deep learning,data_science,advanced,58
neural_networks,neural networks,data_science,advanced,18
adobe_photoshop,adobe photoshop,extracted,intermediate,5
a_pickleball_paddle,a pickleball paddle,extracted,intermediate,1
seo,seo,marketing,intermediate,16
photography,photography,multimedia,intermediate,15
sustainment,sustainment,extracted,intermediate,1
improvement_work,improvement work,extracted,intermediate,1
ci/cd,ci/cd,software_engineering,intermediate,10
data,data,extracted,intermediate,34
charts,charts,extracted,intermediate,5
load_testing,load testing,extracted,intermediate,1
cryptography,cryptography,cybersecurity,advanced,23
training,training,extracted,intermediate,3
programs,programs,extracted,intermediate,1
volunteer_community_health_workers,volunteer community health workers,extracted,intermediate,1
object-oriented_programming,object-oriented programming,software_engineering,intermediate,22
clustering,clustering,data_science,intermediate,13
k-means,k-means,extracted,intermediate,1
web_development,web development,software_engineering,intermediate,41
software_design_methods,software design methods,extracted,intermediate,1
tools,tools,extracted,intermediate,4
an_instagram_business_account,an instagram business account,extracted,intermediate,1
github,github,extracted,intermediate,1
essential_design_principles,essential design principles,extracted,intermediate,1
tableau,tableau,extracted,intermediate,8
health_equity_research,health equity research,extracted,intermediate,1
practice,practice,extracted,intermediate,33
local_&_global_lessons,local & global lessons,extracted,intermediate,1
remote_work,remote work,extracted,intermediate,1
online_study,online study,extracted,intermediate,1
risk_management,risk management,finance,intermediate,48
microservices,microservices,software_engineering,advanced,16
social_media_marketing,social media marketing,marketing,intermediate,11
go,go,programming,intermediate,24
embeddings,embeddings,extracted,intermediate,1
vector_search,vector search,extracted,intermediate,3
design_engaging_stories,design engaging stories,extracted,intermediate,1
instagram,instagram,extracted,intermediate,3
multimodal_search,multimodal search,extracted,intermediate,1
big_data,big data,data_science,intermediate,47
business_intelligence,business intelligence,business_analysis,intermediate,19
a_writing_rubric,a writing rubric,extracted,intermediate,1
data_visualization,data visualization,data_science,intermediate,71
ethical_hacking,ethical hacking,cybersecurity,intermediate,16
power_skills,power skills,extracted,intermediate,2
self-awareness,self-awareness,extracted,intermediate,1
teams,teams,extracted,intermediate,2
systems,systems,extracted,intermediate,4
engineering,engineering,extracted,intermediate,1
the_design_process,the design process,extracted,intermediate,1
a_sustainable_future,a sustainable future,extracted,intermediate,4
django,django,programming,intermediate,19
c#,c#,programming,intermediate,29
a_content_calendar,a content calendar,extracted,intermediate,1
trello,trello,extracted,intermediate,4
plant_design,plant design,extracted,intermediate,1
